SK_Date,Date,Day,DayName,DayOfWeek,Month,MonthName,Year,IsWeekend
20161223,2016-12-23,23,Friday,6,12,December,2016,false
20161224,2016-12-24,24,Saturday,7,12,December,2016,true
20161225,2016-12-25,25,Sunday,1,12,December,2016,true
20161226,2016-12-26,26,Monday,2,12,December,2016,false
20161227,2016-12-27,27,Tuesday,3,12,December,2016,false
20161228,2016-12-28,28,Wednesday,4,12,December,2016,false
20161229,2016-12-29,29,Thursday,5,12,December,2016,false
20161230,2016-12-30,30,Friday,6,12,December,2016,false
20161231,2016-12-31,31,Saturday,7,12,December,2016,true
20170101,2017-01-01,1,Sunday,1,1,January,2017,true
20170102,2017-01-02,2,Monday,2,1,January,2017,false
20170103,2017-01-03,3,Tuesday,3,1,January,2017,false
20170104,2017-01-04,4,Wednesday,4,1,January,2017,false
20170105,2017-01-05,5,Thursday,5,1,January,2017,false
20170106,2017-01-06,6,Friday,6,1,January,2017,false
20170107,2017-01-07,7,Saturday,7,1,January,2017,true
20170108,2017-01-08,8,Sunday,1,1,January,2017,true
20170109,2017-01-09,9,Monday,2,1,January,2017,false
20170110,2017-01-10,10,Tuesday,3,1,January,2017,false
20170111,2017-01-11,11,Wednesday,4,1,January,2017,false
20170112,2017-01-12,12,Thursday,5,1,January,2017,false
20170113,2017-01-13,13,Friday,6,1,January,2017,false
20170114,2017-01-14,14,Saturday,7,1,January,2017,true
20170115,2017-01-15,15,Sunday,1,1,January,2017,true
20170116,2017-01-16,16,Monday,2,1,January,2017,false
20170117,2017-01-17,17,Tuesday,3,1,January,2017,false
20170118,2017-01-18,18,Wednesday,4,1,January,2017,false
20170119,2017-01-19,19,Thursday,5,1,January,2017,false
20170120,2017-01-20,20,Friday,6,1,January,2017,false
20170121,2017-01-21,21,Saturday,7,1,January,2017,true
20170122,2017-01-22,22,Sunday,1,1,January,2017,true
20170123,2017-01-23,23,Monday,2,1,January,2017,false
20170124,2017-01-24,24,Tuesday,3,1,January,2017,false
20170125,2017-01-25,25,Wednesday,4,1,January,2017,false
20170126,2017-01-26,26,Thursday,5,1,January,2017,false
20170127,2017-01-27,27,Friday,6,1,January,2017,false
20170128,2017-01-28,28,Saturday,7,1,January,2017,true
20170129,2017-01-29,29,Sunday,1,1,January,2017,true
20170130,2017-01-30,30,Monday,2,1,January,2017,false
20170131,2017-01-31,31,Tuesday,3,1,January,2017,false
20170201,2017-02-01,1,Wednesday,4,2,February,2017,false
20170202,2017-02-02,2,Thursday,5,2,February,2017,false
20170203,2017-02-03,3,Friday,6,2,February,2017,false
20170204,2017-02-04,4,Saturday,7,2,February,2017,true
20170205,2017-02-05,5,Sunday,1,2,February,2017,true
20170206,2017-02-06,6,Monday,2,2,February,2017,false
20170207,2017-02-07,7,Tuesday,3,2,February,2017,false
20170208,2017-02-08,8,Wednesday,4,2,February,2017,false
20170209,2017-02-09,9,Thursday,5,2,February,2017,false
20170210,2017-02-10,10,Friday,6,2,February,2017,false
20170211,2017-02-11,11,Saturday,7,2,February,2017,true
20170212,2017-02-12,12,Sunday,1,2,February,2017,true
20170213,2017-02-13,13,Monday,2,2,February,2017,false
20170214,2017-02-14,14,Tuesday,3,2,February,2017,false
20170215,2017-02-15,15,Wednesday,4,2,February,2017,false
20170216,2017-02-16,16,Thursday,5,2,February,2017,false
20170217,2017-02-17,17,Friday,6,2,February,2017,false
20170218,2017-02-18,18,Saturday,7,2,February,2017,true
20170219,2017-02-19,19,Sunday,1,2,February,2017,true
20170220,2017-02-20,20,Monday,2,2,February,2017,false
20170221,2017-02-21,21,Tuesday,3,2,February,2017,false
20170222,2017-02-22,22,Wednesday,4,2,February,2017,false
20170223,2017-02-23,23,Thursday,5,2,February,2017,false
20170224,2017-02-24,24,Friday,6,2,February,2017,false
20170225,2017-02-25,25,Saturday,7,2,February,2017,true
20170226,2017-02-26,26,Sunday,1,2,February,2017,true
20170227,2017-02-27,27,Monday,2,2,February,2017,false
20170228,2017-02-28,28,Tuesday,3,2,February,2017,false
20170301,2017-03-01,1,Wednesday,4,3,March,2017,false
20170302,2017-03-02,2,Thursday,5,3,March,2017,false
20170303,2017-03-03,3,Friday,6,3,March,2017,false
20170304,2017-03-04,4,Saturday,7,3,March,2017,true
20170305,2017-03-05,5,Sunday,1,3,March,2017,true
20170306,2017-03-06,6,Monday,2,3,March,2017,false
20170307,2017-03-07,7,Tuesday,3,3,March,2017,false
20170308,2017-03-08,8,Wednesday,4,3,March,2017,false
20170309,2017-03-09,9,Thursday,5,3,March,2017,false
20170310,2017-03-10,10,Friday,6,3,March,2017,false
20170311,2017-03-11,11,Saturday,7,3,March,2017,true
20170312,2017-03-12,12,Sunday,1,3,March,2017,true
20170313,2017-03-13,13,Monday,2,3,March,2017,false
20170314,2017-03-14,14,Tuesday,3,3,March,2017,false
20170315,2017-03-15,15,Wednesday,4,3,March,2017,false
20170316,2017-03-16,16,Thursday,5,3,March,2017,false
20170317,2017-03-17,17,Friday,6,3,March,2017,false
20170318,2017-03-18,18,Saturday,7,3,March,2017,true
20170319,2017-03-19,19,Sunday,1,3,March,2017,true
20170320,2017-03-20,20,Monday,2,3,March,2017,false
20170321,2017-03-21,21,Tuesday,3,3,March,2017,false
20170322,2017-03-22,22,Wednesday,4,3,March,2017,false
20170323,2017-03-23,23,Thursday,5,3,March,2017,false
20170324,2017-03-24,24,Friday,6,3,March,2017,false
20170325,2017-03-25,25,Saturday,7,3,March,2017,true
20170326,2017-03-26,26,Sunday,1,3,March,2017,true
20170327,2017-03-27,27,Monday,2,3,March,2017,false
20170328,2017-03-28,28,Tuesday,3,3,March,2017,false
20170329,2017-03-29,29,Wednesday,4,3,March,2017,false
20170330,2017-03-30,30,Thursday,5,3,March,2017,false
20170331,2017-03-31,31,Friday,6,3,March,2017,false
20170401,2017-04-01,1,Saturday,7,4,April,2017,true
20170402,2017-04-02,2,Sunday,1,4,April,2017,true
20170403,2017-04-03,3,Monday,2,4,April,2017,false
